Date;StockPrice;Sentiment Score;EPS;Revenue;Expense
44947.625;240.22;1;2.23;51865;31331
44947.6666666667;240.22;1;2.23;51865;31331
44947.7083333333;240.22;1;2.23;51865;31331
44947.75;240.22;1;2.23;51865;31331
44947.7916666667;240.22;1;2.23;51865;31331
44947.8333333333;240.22;1;2.23;51865;31331
44947.875;240.22;1;2.23;51865;31331
44947.9166666667;240.22;1;2.23;51865;31331
44947.9583333333;240.22;-4;2.23;51865;31331
44948;240.22;-4;2.23;51865;31331
44948.0416666667;240.22;-4;2.23;51865;31331
44948.0833333333;240.22;-4;2.23;51865;31331
44948.125;240.22;-4;2.23;51865;31331
44948.1666666667;240.22;-10;2.23;51865;31331
44948.2083333333;240.22;-10;2.23;51865;31331
44948.25;240.22;-10;2.23;51865;31331
44948.2916666667;240.22;-10;2.23;51865;31331
44948.3333333333;240.22;-10;2.23;51865;31331
44948.375;240.22;-10;2.23;51865;31331
44948.4166666667;240.22;-10;2.23;51865;31331
44948.4583333333;240.22;-10;2.23;51865;31331
44948.5;240.22;-10;2.23;51865;31331
44948.5416666667;240.22;-10;2.23;51865;31331
44948.5833333333;240.22;-2;2.23;51865;31331
44948.625;240.22;-2;2.23;51865;31331
44948.6666666667;240.22;-2;2.23;51865;31331
44948.7083333333;240.22;-2;2.23;51865;31331
44948.75;240.22;-2;2.23;51865;31331
44948.7916666667;240.22;-2;2.23;51865;31331
44948.8333333333;240.22;-2;2.23;51865;31331
44948.875;240.22;-2;2.23;51865;31331
44948.9166666667;240.22;-14;2.23;51865;31331
44948.9583333333;240.22;-14;2.23;51865;31331
44949;240.22;2;2.23;51865;31331
44949.0416666667;240.22;2;2.23;51865;31331
44949.0833333333;240.22;2;2.23;51865;31331
44949.125;240.22;2;2.23;51865;31331
44949.1666666667;240.22;2;2.23;51865;31331
44949.2083333333;240.22;-3;2.23;51865;31331
44949.25;240.22;-3;2.23;51865;31331
44949.2916666667;240.22;-15;2.23;51865;31331
44949.3333333333;240.22;-15;2.23;51865;31331
44949.375;240.22;-15;2.23;51865;31331
44949.4166666667;240.22;-8;2.23;51865;31331
44949.4583333333;240.22;-8;2.23;51865;31331
44949.5;240.22;-21;2.23;51865;31331
44949.5416666667;240.22;-9;2.23;51865;31331
44949.5833333333;240.22;1;2.23;51865;31331
44949.625;240.22;-23;2.23;51865;31331
44949.6666666667;241.585;0;2.23;51865;31331
44949.7083333333;242.63;-12;2.23;51865;31331
44949.75;244.58;-12;2.23;51865;31331
44949.7916666667;244.18;-12;2.23;51865;31331
44949.8333333333;243.79;-12;2.23;51865;31331
44949.875;242.53;4;2.23;51865;31331
44949.9166666667;242.58;-3;2.23;51865;31331
44949.9583333333;242.58;-16;2.23;51865;31331
44950;242.58;-2;2.23;51865;31331
44950.0416666667;242.58;-2;2.23;51865;31331
44950.0833333333;242.58;-2;2.23;51865;31331
44950.125;242.58;-2;2.23;51865;31331
44950.1666666667;242.58;-2;2.23;51865;31331
44950.2083333333;242.58;-2;2.23;51865;31331
44950.25;242.58;-2;2.23;51865;31331
44950.2916666667;242.58;-2;2.23;51865;31331
44950.3333333333;242.58;-2;2.23;51865;31331
44950.375;242.58;-2;2.23;51865;31331
44950.4166666667;242.58;-2;2.23;51865;31331
44950.4583333333;242.58;-2;2.23;51865;31331
44950.5;242.58;-15;2.23;51865;31331
44950.5416666667;242.58;-15;2.23;51865;31331
44950.5833333333;242.58;11;2.23;51865;31331
44950.625;242.58;4;2.23;51865;31331
44950.6666666667;241.9601;-4;2.35;50122;28604
44950.7083333333;242.94;-4;2.35;50122;28604
44950.75;242.03;-4;2.35;50122;28604
44950.7916666667;241.78;-5;2.35;50122;28604
44950.8333333333;242.36;-5;2.35;50122;28604
44950.875;242.47;-29;2.35;50122;28604
44950.9166666667;242.04;-7;2.35;50122;28604
44950.9583333333;242.04;-13;2.35;50122;28604
44951;242.04;0;2.35;50122;28604
44951.0416666667;242.04;-10;2.35;50122;28604
44951.0833333333;242.04;-10;2.35;50122;28604
44951.125;242.04;-10;2.35;50122;28604
44951.1666666667;242.04;20;2.35;50122;28604
44951.2083333333;242.04;20;2.35;50122;28604
44951.25;242.04;20;2.35;50122;28604
44951.2916666667;242.04;20;2.35;50122;28604
44951.3333333333;242.04;-34;2.35;50122;28604
